old_group_name,old_group_code,group_name,group_code,group_id,group_col,old_group_id
ABULOMA OLD GROUP,ABULOM,EFIK-RAINBOW GROUP,EFIK-R,830,0,81
ABULOMA OLD GROUP,ABULOM,ABULOMA,ABULOM,831,2,81
ABULOMA OLD GROUP,ABULOM,EJUAN,EJUAN,832,4,81
ABULOMA OLD GROUP,ABULOM,RAINBOW,RAINBO,833,6,81
ABULOMA OLD GROUP,ABULOM,TERE-AMA,TERE-A,834,8,81
CAMPUS OLD GROUP,CAMPUS,ALAKAHIA GROUP,ALAKAH,835,1,82
CAMPUS OLD GROUP,CAMPUS,ABUJA GROUP,ABUJA ,836,3,82
CAMPUS OLD GROUP,CAMPUS,PHC-UNIPORT CHOBA,PHC-UN,837,5,82
CAMPUS OLD GROUP,CAMPUS,ALUU GROUP,ALUU G,838,7,82
CAMPUS OLD GROUP,CAMPUS,CORPER'S FELLOWSHIP,CORPER,839,9,82
CAMPUS OLD GROUP,CAMPUS,IAUE,IAUE,840,11,82
CAMPUS OLD GROUP,CAMPUS,ABUJA GROUP,ABUJA ,841,13,82
CHOBA OLD GROUP,CHOBA,ALAKAHIA,ALAKAH,842,1,83
CHOBA OLD GROUP,CHOBA,CHOBA,CHOBA,843,3,83
CHOBA OLD GROUP,CHOBA,RUMUEKINI,RUMUEK,844,5,83
CHOBA OLD GROUP,CHOBA,IGWE,IGWE,845,7,83
DIOBU OLD GROUP,DIOBU,DIOBU,DIOBU,846,1,84
DIOBU OLD GROUP,DIOBU,EFIK DIOBU,EFIK D,847,3,84
DIOBU OLD GROUP,DIOBU,IGBO,IGBO,848,5,84
DIOBU OLD GROUP,DIOBU,MILE 1,MILE 1,849,7,84
DIOBU OLD GROUP,DIOBU,MILE 3,MILE 3,850,9,84
DIOBU OLD GROUP,DIOBU,REBISI,REBISI,851,11,84
DIOBU OLD GROUP,DIOBU,RUMIELECHI,RUMIEL,852,13,84
ENEKA OLD GROUP,ENEKA,RUMUESARA,RUMUES,853,1,85
ENEKA OLD GROUP,ENEKA,RUMUOGUNUMA,RUMUOG,854,3,85
ENEKA OLD GROUP,ENEKA,RUMUOSITA,RUMUOS,855,5,85
ENEKA OLD GROUP,ENEKA,RUMUOWHA,RUMUOW,856,7,85
OGBOGORO OLD GROUP,OGBOGO,MGBARAJA,MGBARA,857,1,86
OGBOGORO OLD GROUP,OGBOGO,OZODO,OZODO,858,3,86
OGBOGORO OLD GROUP,OGBOGO,EFIK-OGBOGORO,EFIK-O,859,5,86
OGBOGORO OLD GROUP,OGBOGO,OGBOGORO,OGBOGO,860,7,86
OGBUM-NU-ABALI OLD GROUP,OGBUM-,D/LINE,D/LINE,861,1,87
OGBUM-NU-ABALI OLD GROUP,OGBUM-,NEW GRA,NEW GR,862,3,87
OGBUM-NU-ABALI OLD GROUP,OGBUM-,OGBUM-NU-ABALI,OGBUM-,863,5,87
OGBUM-NU-ABALI OLD GROUP,OGBUM-,OLD GRA,OLD GR,864,7,87
OLANADA OLD GROUP,OLANAD,EVORLU,EVORLU,865,1,88
OLANADA OLD GROUP,OLANAD,IKWERRE-OBIO,IKWERR,866,3,88
OLANADA OLD GROUP,OLANAD,IKWERRE-REBISI,IKWERR,867,5,88
OLANADA OLD GROUP,OLANAD,OHIO ADA,OHIO A,868,7,88
OLANADA OLD GROUP,OLANAD,OKANIA,OKANIA,869,9,88
OLANADA OLD GROUP,OLANAD,OLANADA,OLANAD,870,11,88
OLANADA OLD GROUP,OLANAD,RUMUOKWUTA,RUMUOK,871,13,88
OLANADA OLD GROUP,OLANAD,RUMUOLA,RUMUOL,872,15,88
OROIGWE OLD GROUP,OROIGW,ATALI,ATALI,873,1,89
OROIGWE OLD GROUP,OROIGW,ELIMGBU,ELIMGB,874,3,89
OROIGWE OLD GROUP,OROIGW,ELIOZU,ELIOZU,875,5,89
OROIGWE OLD GROUP,OROIGW,OROIGWE,OROIGW,876,7,89
OROIGWE OLD GROUP,OROIGW,RUMUDURU,RUMUDU,877,9,89
OZUOBA OLD GROUP,OZUOBA,DEEPER LIFE HIGH SCHOOL,DEEPER,878,1,90
OZUOBA OLD GROUP,OZUOBA,OZUOBA,OZUOBA,879,3,90
OZUOBA OLD GROUP,OZUOBA,ALIMINI,ALIMIN,880,5,90
OZUOBA OLD GROUP,OZUOBA,RUMUOKPARALI,RUMUOK,881,7,90
PIPE-LINE  OLD GROUP,PIPE-L,NEW LAYOUT,NEW LA,882,1,91
PIPE-LINE  OLD GROUP,PIPE-L,PALMVIEW,PALMVI,883,3,91
PIPE-LINE  OLD GROUP,PIPE-L,PIPE-LINE,PIPE-L,884,5,91
RUKPOKWU OLD GROUP,RUKPOK,ELIKPOKWU-ODU,ELIKPO,885,1,92
RUKPOKWU OLD GROUP,RUKPOK,RUKPOKWU,RUKPOK,886,3,92
RUKPOKWU OLD GROUP,RUKPOK,RUMUAPU,RUMUAP,887,5,92
RUKPOKWU OLD GROUP,RUKPOK,WHITE HOUSE,WHITE ,888,7,92
RUMUAGHOLU OLD GROUP,RUMUAG,INT'L MARKET,INT'L ,889,1,93
RUMUAGHOLU OLD GROUP,RUMUAG,RUMUAGHOLU,RUMUAG,890,3,93
RUMUAGHOLU OLD GROUP,RUMUAG,RUMUODOMAYA,RUMUOD,891,5,93
RUMUAGHOLU OLD GROUP,RUMUAG,AGBADA,AGBADA,892,7,93
RUMUEME OLD GROUP,RUMUEM,AGIP,AGIP,893,1,94
RUMUEME OLD GROUP,RUMUEM,EAGLE ISLAND,EAGLE ,894,3,94
RUMUEME OLD GROUP,RUMUEM,RUMUCHINDA,RUMUCH,895,5,94
RUMUEME OLD GROUP,RUMUEM,RUMUEME,RUMUEM,896,7,94
RUMUEME OLD GROUP,RUMUEM,RUMUKPAKANI,RUMUKP,897,9,94
RUMUEME OLD GROUP,RUMUEM,RUMUEPIRIKOM,RUMUEP,898,11,94
RUMUIGBO OLD GROUP,RUMUIG,APARA LINK,APARA ,899,1,95
RUMUIGBO OLD GROUP,RUMUIG,MGBUOBA,MGBUOB,900,3,95
RUMUIGBO OLD GROUP,RUMUIG,NKPOLU,NKPOLU,901,5,95
RUMUIGBO OLD GROUP,RUMUIG,ORIANWOKPAKANI,ORIANW,902,7,95
RUMUIGBO OLD GROUP,RUMUIG,RUMUIGBO,RUMUIG,903,9,95
RUMUIGBO OLD GROUP,RUMUIG,RUMUOMOI,RUMUOM,904,11,95
RUMUODARA OLD GROUP,RUMUOD,EFIK-OBIO,EFIK-O,905,1,96
RUMUODARA OLD GROUP,RUMUOD,GOD'S OWN,GOD'S ,906,3,96
RUMUODARA OLD GROUP,RUMUOD,ORIANWO,ORIANW,907,5,96
RUMUODARA OLD GROUP,RUMUOD,RUMUODARA,RUMUOD,908,7,96
RUMUODARA OLD GROUP,RUMUOD,RUMUOKWURUSHI,RUMUOK,909,9,96
RUMUOKORO OLD GROUP,RUMUOK,ELIGBOLO,ELIGBO,910,1,97
RUMUOKORO OLD GROUP,RUMUOK,ODOZU,ODOZU,911,3,97
RUMUOKORO OLD GROUP,RUMUOK,BARRACKS,BARRAC,912,5,97
RUMUOKORO OLD GROUP,RUMUOK,EFIK-RUMUOKORO,EFIK-R,913,7,97
RUMUOKORO OLD GROUP,RUMUOK,RUMUOKORO,RUMUOK,914,9,97
RUMUOLUMENI OLD GROUP,RUMUOL,AZUMINI,AZUMIN,915,1,98
RUMUOLUMENI OLD GROUP,RUMUOL,CHINWOTA,CHINWO,916,3,98
RUMUOLUMENI OLD GROUP,RUMUOL,ELIOPARANWO,ELIOPA,917,5,98
RUMUOLUMENI OLD GROUP,RUMUOL,MGBUODOHIA,MGBUOD,918,7,98
RUMUOLUMENI OLD GROUP,RUMUOL,MGBUOLIMINI,MGBUOL,919,9,98
RUMUOLUMENI OLD GROUP,RUMUOL,NKPOR,NKPOR,920,11,98
RUMUOMASI OLD GROUP,RUMUOM,AZUABIE,AZUABI,921,1,99
RUMUOMASI OLD GROUP,RUMUOM,ELEKAHIA,ELEKAH,922,3,99
RUMUOMASI OLD GROUP,RUMUOM,OGINIGBA,OGINIG,923,5,99
RUMUOMASI OLD GROUP,RUMUOM,RUMUIBEKWE,RUMUIB,924,7,99
RUMUOMASI OLD GROUP,RUMUOM,RUMUOGBA,RUMUOG,925,9,99
RUMUOMASI OLD GROUP,RUMUOM,RUMUOMASI,RUMUOM,926,11,99
TOWN OLD GROUP,TOWN,BORIKIRI,BORIKI,927,1,100
TOWN OLD GROUP,TOWN,BUNDU,BUNDU,928,3,100
TOWN OLD GROUP,TOWN,EFIK-TOWN,EFIK-T,929,5,100
TOWN OLD GROUP,TOWN,LANGUAGE,LANGUA,930,7,100
TOWN OLD GROUP,TOWN,MARINE BASE,MARINE,931,9,100
TOWN OLD GROUP,TOWN,TOWN,TOWN,932,11,100
TOWN OLD GROUP,TOWN,NEW ROAD,NEW RO,933,13,100
WOJI OLD GROUP,WOJI,ALCON,ALCON,934,1,101
WOJI OLD GROUP,WOJI,ELELENWO,ELELEN,935,3,101
WOJI OLD GROUP,WOJI,OIL MILL,OIL MI,936,5,101
WOJI OLD GROUP,WOJI,RUMUODANI,RUMUOD,937,7,101
WOJI OLD GROUP,WOJI,RUMUROLU,RUMURO,938,9,101
WOJI OLD GROUP,WOJI,WOJI TOWN,WOJI T,939,11,101
WOJI OLD GROUP,WOJI,ESTATE,ESTATE,940,13,101
