group_id,group_name,group_code,old_group_id,old_group_name,old_group_code
830,EFIK-RAINBOW GROUP,EFIK-R,81,ABULOMA OLD GROUP,ABULOM
831,ABULOMA,ABULOM,81,ABULOMA OLD GROUP,ABULOM
832,EJUAN,EJUAN,81,ABULOMA OLD GROUP,ABULOM
833,RAINBOW,RAINBO,81,ABULOMA OLD GROUP,ABULOM
834,TERE-AMA,TERE-A,81,ABULOMA OLD GROUP,ABULOM
835,ALAKAHIA GROUP,ALAKAH,82,CAMPUS OLD GROUP,CAMPUS
836,ABUJA GROUP,ABUJA ,82,CAMPUS OLD GROUP,CAMPUS
837,PHC-UNIPORT CHOBA,PHC-UN,82,CAMPUS OLD GROUP,CAMPUS
838,ALUU GROUP,ALUU G,82,CAMPUS OLD GROUP,CAMPUS
839,CORPER'S FELLOWSHIP,CORPER,82,CAMPUS OLD GROUP,CAMPUS
840,IAUE,IAUE,82,CAMPUS OLD GROUP,CAMPUS
841,ABUJA GROUP,ABUJA ,82,CAMPUS OLD GROUP,CAMPUS
842,ALAKAHIA,ALAKAH,83,CHOBA OLD GROUP,CHOBA
843,CHOBA,CHOBA,83,CHOBA OLD GROUP,CHOBA
844,RUMUEKINI,RUMUEK,83,CHOBA OLD GROUP,CHOBA
845,IGWE,IGWE,83,CHOBA OLD GROUP,CHOBA
846,DIOBU,DIOBU,84,DIOBU OLD GROUP,DIOBU
847,EFIK DIOBU,EFIK D,84,DIOBU OLD GROUP,DIOBU
848,IGBO,IGBO,84,DIOBU OLD GROUP,DIOBU
849,MILE 1,MILE 1,84,DIOBU OLD GROUP,DIOBU
850,MILE 3,MILE 3,84,DIOBU OLD GROUP,DIOBU
851,REBISI,REBISI,84,DIOBU OLD GROUP,DIOBU
852,RUMIELECHI,RUMIEL,84,DIOBU OLD GROUP,DIOBU
853,RUMUESARA,RUMUES,85,ENEKA OLD GROUP,ENEKA
854,RUMUOGUNUMA,RUMUOG,85,ENEKA OLD GROUP,ENEKA
855,RUMUOSITA,RUMUOS,85,ENEKA OLD GROUP,ENEKA
856,RUMUOWHA,RUMUOW,85,ENEKA OLD GROUP,ENEKA
857,MGBARAJA,MGBARA,86,OGBOGORO OLD GROUP,OGBOGO
858,OZODO,OZODO,86,OGBOGORO OLD GROUP,OGBOGO
859,EFIK-OGBOGORO,EFIK-O,86,OGBOGORO OLD GROUP,OGBOGO
860,OGBOGORO,OGBOGO,86,OGBOGORO OLD GROUP,OGBOGO
861,D/LINE,D/LINE,87,OGBUM-NU-ABALI OLD GROUP,OGBUM-
862,NEW GRA,NEW GR,87,OGBUM-NU-ABALI OLD GROUP,OGBUM-
863,OGBUM-NU-ABALI,OGBUM-,87,OGBUM-NU-ABALI OLD GROUP,OGBUM-
864,OLD GRA,OLD GR,87,OGBUM-NU-ABALI OLD GROUP,OGBUM-
865,EVORLU,EVORLU,88,OLANADA OLD GROUP,OLANAD
866,IKWERRE-OBIO,IKWERR,88,OLANADA OLD GROUP,OLANAD
867,IKWERRE-REBISI,IKWERR,88,OLANADA OLD GROUP,OLANAD
868,OHIO ADA,OHIO A,88,OLANADA OLD GROUP,OLANAD
869,OKANIA,OKANIA,88,OLANADA OLD GROUP,OLANAD
870,OLANADA,OLANAD,88,OLANADA OLD GROUP,OLANAD
871,RUMUOKWUTA,RUMUOK,88,OLANADA OLD GROUP,OLANAD
872,RUMUOLA,RUMUOL,88,OLANADA OLD GROUP,OLANAD
873,ATALI,ATALI,89,OROIGWE OLD GROUP,OROIGW
874,ELIMGBU,ELIMGB,89,OROIGWE OLD GROUP,OROIGW
875,ELIOZU,ELIOZU,89,OROIGWE OLD GROUP,OROIGW
876,OROIGWE,OROIGW,89,OROIGWE OLD GROUP,OROIGW
877,RUMUDURU,RUMUDU,89,OROIGWE OLD GROUP,OROIGW
878,DEEPER LIFE HIGH SCHOOL,DEEPER,90,OZUOBA OLD GROUP,OZUOBA
879,OZUOBA,OZUOBA,90,OZUOBA OLD GROUP,OZUOBA
880,ALIMINI,ALIMIN,90,OZUOBA OLD GROUP,OZUOBA
881,RUMUOKPARALI,RUMUOK,90,OZUOBA OLD GROUP,OZUOBA
882,NEW LAYOUT,NEW LA,91,PIPE-LINE  OLD GROUP,PIPE-L
883,PALMVIEW,PALMVI,91,PIPE-LINE  OLD GROUP,PIPE-L
884,PIPE-LINE,PIPE-L,91,PIPE-LINE  OLD GROUP,PIPE-L
885,ELIKPOKWU-ODU,ELIKPO,92,RUKPOKWU OLD GROUP,RUKPOK
886,RUKPOKWU,RUKPOK,92,RUKPOKWU OLD GROUP,RUKPOK
887,RUMUAPU,RUMUAP,92,RUKPOKWU OLD GROUP,RUKPOK
888,WHITE HOUSE,WHITE ,92,RUKPOKWU OLD GROUP,RUKPOK
889,INT'L MARKET,INT'L ,93,RUMUAGHOLU OLD GROUP,RUMUAG
890,RUMUAGHOLU,RUMUAG,93,RUMUAGHOLU OLD GROUP,RUMUAG
891,RUMUODOMAYA,RUMUOD,93,RUMUAGHOLU OLD GROUP,RUMUAG
892,AGBADA,AGBADA,93,RUMUAGHOLU OLD GROUP,RUMUAG
893,AGIP,AGIP,94,RUMUEME OLD GROUP,RUMUEM
894,EAGLE ISLAND,EAGLE ,94,RUMUEME OLD GROUP,RUMUEM
895,RUMUCHINDA,RUMUCH,94,RUMUEME OLD GROUP,RUMUEM
896,RUMUEME,RUMUEM,94,RUMUEME OLD GROUP,RUMUEM
897,RUMUKPAKANI,RUMUKP,94,RUMUEME OLD GROUP,RUMUEM
898,RUMUEPIRIKOM,RUMUEP,94,RUMUEME OLD GROUP,RUMUEM
899,APARA LINK,APARA ,95,RUMUIGBO OLD GROUP,RUMUIG
900,MGBUOBA,MGBUOB,95,RUMUIGBO OLD GROUP,RUMUIG
901,NKPOLU,NKPOLU,95,RUMUIGBO OLD GROUP,RUMUIG
902,ORIANWOKPAKANI,ORIANW,95,RUMUIGBO OLD GROUP,RUMUIG
903,RUMUIGBO,RUMUIG,95,RUMUIGBO OLD GROUP,RUMUIG
904,RUMUOMOI,RUMUOM,95,RUMUIGBO OLD GROUP,RUMUIG
905,EFIK-OBIO,EFIK-O,96,RUMUODARA OLD GROUP,RUMUOD
906,GOD'S OWN,GOD'S ,96,RUMUODARA OLD GROUP,RUMUOD
907,ORIANWO,ORIANW,96,RUMUODARA OLD GROUP,RUMUOD
908,RUMUODARA,RUMUOD,96,RUMUODARA OLD GROUP,RUMUOD
909,RUMUOKWURUSHI,RUMUOK,96,RUMUODARA OLD GROUP,RUMUOD
910,ELIGBOLO,ELIGBO,97,RUMUOKORO OLD GROUP,RUMUOK
911,ODOZU,ODOZU,97,RUMUOKORO OLD GROUP,RUMUOK
912,BARRACKS,BARRAC,97,RUMUOKORO OLD GROUP,RUMUOK
913,EFIK-RUMUOKORO,EFIK-R,97,RUMUOKORO OLD GROUP,RUMUOK
914,RUMUOKORO,RUMUOK,97,RUMUOKORO OLD GROUP,RUMUOK
915,AZUMINI,AZUMIN,98,RUMUOLUMENI OLD GROUP,RUMUOL
916,CHINWOTA,CHINWO,98,RUMUOLUMENI OLD GROUP,RUMUOL
917,ELIOPARANWO,ELIOPA,98,RUMUOLUMENI OLD GROUP,RUMUOL
918,MGBUODOHIA,MGBUOD,98,RUMUOLUMENI OLD GROUP,RUMUOL
919,MGBUOLIMINI,MGBUOL,98,RUMUOLUMENI OLD GROUP,RUMUOL
920,NKPOR,NKPOR,98,RUMUOLUMENI OLD GROUP,RUMUOL
921,AZUABIE,AZUABI,99,RUMUOMASI OLD GROUP,RUMUOM
922,ELEKAHIA,ELEKAH,99,RUMUOMASI OLD GROUP,RUMUOM
923,OGINIGBA,OGINIG,99,RUMUOMASI OLD GROUP,RUMUOM
924,RUMUIBEKWE,RUMUIB,99,RUMUOMASI OLD GROUP,RUMUOM
925,RUMUOGBA,RUMUOG,99,RUMUOMASI OLD GROUP,RUMUOM
926,RUMUOMASI,RUMUOM,99,RUMUOMASI OLD GROUP,RUMUOM
927,BORIKIRI,BORIKI,100,TOWN OLD GROUP,TOWN
928,BUNDU,BUNDU,100,TOWN OLD GROUP,TOWN
929,EFIK-TOWN,EFIK-T,100,TOWN OLD GROUP,TOWN
930,LANGUAGE,LANGUA,100,TOWN OLD GROUP,TOWN
931,MARINE BASE,MARINE,100,TOWN OLD GROUP,TOWN
932,TOWN,TOWN,100,TOWN OLD GROUP,TOWN
933,NEW ROAD,NEW RO,100,TOWN OLD GROUP,TOWN
934,ALCON,ALCON,101,WOJI OLD GROUP,WOJI
935,ELELENWO,ELELEN,101,WOJI OLD GROUP,WOJI
936,OIL MILL,OIL MI,101,WOJI OLD GROUP,WOJI
937,RUMUODANI,RUMUOD,101,WOJI OLD GROUP,WOJI
938,RUMUROLU,RUMURO,101,WOJI OLD GROUP,WOJI
939,WOJI TOWN,WOJI T,101,WOJI OLD GROUP,WOJI
940,ESTATE,ESTATE,101,WOJI OLD GROUP,WOJI
